Date,Category,Quantity,PPU,Amount,Inventory Level,Units Sold,Weather Condition,Holiday/Promotion,Month,MonthName,DayOfWeek
2025-01-01,Bedroom Sets,74.0,452778.7323539379,35615091,297.02,16038,Rainy,1,2025-01,Jan 2025,Wednesday
2025-01-02,Bedroom Sets,223.0,457726.9196312504,104341010,248.42,13080,Rainy,1,2025-01,Jan 2025,Thursday
2025-01-03,Bedroom Sets,250.0,466626.1683460669,119143835,279.54,12420,Sunny,1,2025-01,Jan 2025,Friday
2025-01-04,Bedroom Sets,183.0,463275.1063072741,82908297,257.59,12045,Cloudy,1,2025-01,Jan 2025,Saturday
2025-01-05,Bedroom Sets,8.0,481262.97197217256,4168153,285.95,15093,Cloudy,0,2025-01,Jan 2025,Sunday
2025-01-06,Bedroom Sets,232.0,552841.5866162002,117627084,258.09,13552,Snowy,1,2025-01,Jan 2025,Monday
2025-01-07,Bedroom Sets,24.0,540173.6058246761,11543053,253.71,14329,Sunny,1,2025-01,Jan 2025,Tuesday
2025-01-08,Bedroom Sets,31.0,478052.8888266226,13417912,253.33,13897,Snowy,0,2025-01,Jan 2025,Wednesday
2025-01-09,Bedroom Sets,59.0,459691.23330197256,29183131,267.06,12972,Snowy,0,2025-01,Jan 2025,Thursday
2025-01-10,Bedroom Sets,230.0,502331.0822085026,117844195,289.27,14212,Sunny,0,2025-01,Jan 2025,Friday
2025-01-11,Bedroom Sets,205.0,438162.2151984285,98124512,264.83,13679,Rainy,1,2025-01,Jan 2025,Saturday
2025-01-12,Bedroom Sets,148.0,468153.4715253512,61843566,236.43,11898,Cloudy,1,2025-01,Jan 2025,Sunday
2025-02-01,Bedroom Sets,425.0,455139.5463660384,207707635,285.64,14691,Rainy,0,2025-02,Feb 2025,Saturday
2025-02-02,Bedroom Sets,285.0,466671.4268452283,142475797,288.35,13526,Rainy,1,2025-02,Feb 2025,Sunday
2025-02-03,Bedroom Sets,218.0,432938.3360134869,96225783,284.75,14631,Sunny,1,2025-02,Feb 2025,Monday
2025-02-04,Bedroom Sets,310.0,455356.539320773,155533457,281.83,14278,Rainy,0,2025-02,Feb 2025,Tuesday
2025-02-05,Bedroom Sets,435.0,551306.8076788496,213885582,272.24,13225,Sunny,0,2025-02,Feb 2025,Wednesday
2025-02-06,Bedroom Sets,167.0,489469.8187735808,78266803,257.31,13192,Cloudy,0,2025-02,Feb 2025,Thursday
2025-02-07,Bedroom Sets,242.0,429664.89310973126,117750337,278.12,12607,Sunny,0,2025-02,Feb 2025,Friday
2025-02-08,Bedroom Sets,380.0,458322.51610464713,183765548,254.51,14554,Rainy,1,2025-02,Feb 2025,Saturday
2025-02-09,Bedroom Sets,25.0,474630.0824544215,13099895,274.69,14008,Sunny,0,2025-02,Feb 2025,Sunday
2025-02-10,Bedroom Sets,22.0,515334.76669014886,11309597,271.48,12577,Snowy,0,2025-02,Feb 2025,Monday
2025-02-11,Bedroom Sets,86.0,424996.24276060617,37617033,282.27,13884,Sunny,0,2025-02,Feb 2025,Tuesday
2025-02-12,Bedroom Sets,226.0,490721.97556728206,113507269,269.85,13200,Cloudy,0,2025-02,Feb 2025,Wednesday
2025-03-01,Bedroom Sets,71.0,466643.0975429162,31677191,285.58,15142,Cloudy,0,2025-03,Mar 2025,Saturday
2025-03-02,Bedroom Sets,179.0,541431.2263442742,97412614,267.96,12795,Sunny,0,2025-03,Mar 2025,Sunday
